date,anlage,kurs
2023-04-06,MSCI,72.04199981689453
2023-04-07,MSCI,72.04199981689453
2023-04-08,MSCI,72.04199981689453
2023-04-09,MSCI,72.04199981689453
2023-04-10,MSCI,72.04199981689453
2023-04-11,MSCI,72.49600219726562
2023-04-12,MSCI,72.2020034790039
2023-04-13,MSCI,72.11399841308594
2023-04-14,MSCI,72.63400268554688
2023-04-15,MSCI,72.63400268554688
2023-04-16,MSCI,72.63400268554688
2023-04-17,MSCI,72.97000122070312
2023-04-18,MSCI,73.12200164794922
2023-04-19,MSCI,73.00199890136719
2023-04-20,MSCI,72.7760009765625
2023-04-21,MSCI,72.66400146484375
2023-04-22,MSCI,72.66400146484375
2023-04-23,MSCI,72.66400146484375
2023-04-24,MSCI,72.4280014038086
2023-04-25,MSCI,72.29199981689453
2023-04-26,MSCI,71.52999877929688
2023-04-27,MSCI,71.9020004272461
2023-04-28,MSCI,72.56600189208984
2023-04-29,MSCI,72.56600189208984
2023-04-30,MSCI,72.56600189208984
2023-05-01,MSCI,72.56600189208984
2023-05-02,MSCI,71.88200378417969
2023-05-03,MSCI,71.93800354003906
2023-05-04,MSCI,71.45800018310547
2023-05-05,MSCI,72.4000015258789
2023-05-06,MSCI,72.4000015258789
2023-05-07,MSCI,72.4000015258789
2023-05-08,MSCI,72.63800048828125
2023-05-09,MSCI,72.88999938964844
2023-05-10,MSCI,72.78199768066406
2023-05-11,MSCI,73.00800323486328
2023-05-12,MSCI,73.23600006103516
2023-05-13,MSCI,73.23600006103516
2023-05-14,MSCI,73.23600006103516
2023-05-15,MSCI,73.4540023803711
2023-05-16,MSCI,73.31800079345703
2023-05-17,MSCI,73.5199966430664
2023-05-18,MSCI,74.58799743652344
2023-05-19,MSCI,74.53399658203125
2023-05-20,MSCI,74.53399658203125
2023-05-21,MSCI,74.53399658203125
2023-05-22,MSCI,74.83000183105469
2023-05-23,MSCI,74.61799621582031
2023-05-24,MSCI,73.49400329589844
2023-05-25,MSCI,73.80999755859375
2023-05-26,MSCI,74.85800170898438
2023-05-27,MSCI,74.85800170898438
2023-05-28,MSCI,74.85800170898438
2023-05-29,MSCI,75.10199737548828
2023-05-30,MSCI,74.7699966430664
2023-05-31,MSCI,74.33599853515625
2023-06-01,MSCI,74.7239990234375
2023-06-02,MSCI,76.06400299072266
2023-06-03,MSCI,76.06400299072266
2023-06-04,MSCI,76.06400299072266
2023-06-05,MSCI,76.28399658203125
2023-06-06,MSCI,76.4260025024414
2023-06-07,MSCI,76.27999877929688
2023-06-08,MSCI,75.88200378417969
2023-06-09,MSCI,76.25399780273438
2023-06-10,MSCI,76.25399780273438
2023-06-11,MSCI,76.25399780273438
2023-06-12,MSCI,76.46600341796875
2023-06-13,MSCI,77.18399810791016
2023-06-14,MSCI,77.18199920654297
2023-06-15,MSCI,76.89600372314453
2023-06-16,MSCI,77.21399688720703
2023-06-17,MSCI,77.21399688720703
2023-06-18,MSCI,77.21399688720703
2023-06-19,MSCI,76.75800323486328
2023-06-20,MSCI,76.39399719238281
2023-06-21,MSCI,76.01000213623047
2023-06-22,MSCI,75.82599639892578
2023-06-23,MSCI,75.76399993896484
2023-06-24,MSCI,75.76399993896484
2023-06-25,MSCI,75.76399993896484
2023-06-26,MSCI,75.59200286865234
2023-06-27,MSCI,75.5199966430664
2023-06-28,MSCI,76.2699966430664
2023-06-29,MSCI,76.53800201416016
2023-06-30,MSCI,77.2020034790039
2023-07-01,MSCI,77.2020034790039
2023-07-02,MSCI,77.2020034790039
2023-07-03,MSCI,77.39399719238281
2023-07-04,MSCI,77.48600006103516
2023-07-05,MSCI,77.41400146484375
2023-07-06,MSCI,76.14399719238281
2023-07-07,MSCI,76.14199829101562
2023-07-08,MSCI,76.14199829101562
2023-07-09,MSCI,76.14199829101562
2023-07-10,MSCI,75.84600067138672
2023-07-11,MSCI,76.14199829101562
2023-07-12,MSCI,76.4739990234375
2023-07-13,MSCI,76.51799774169922
2023-07-14,MSCI,76.49800109863281
2023-07-15,MSCI,76.49800109863281
2023-07-16,MSCI,76.49800109863281
2023-07-17,MSCI,76.4219970703125
2023-07-18,MSCI,76.83599853515625
2023-07-19,MSCI,77.49400329589844
2023-07-20,MSCI,77.5719985961914
2023-07-21,MSCI,77.69999694824219
2023-07-22,MSCI,77.69999694824219
2023-07-23,MSCI,77.69999694824219
2023-07-24,MSCI,77.99199676513672
2023-07-25,MSCI,78.39600372314453
2023-07-26,MSCI,78.09200286865234
2023-07-27,MSCI,79.19999694824219
2023-07-28,MSCI,78.97200012207031
2023-07-29,MSCI,78.97200012207031
2023-07-30,MSCI,78.97200012207031
2023-07-31,MSCI,79.01200103759766
2023-08-01,MSCI,78.94000244140625
2023-08-02,MSCI,78.1240005493164
2023-08-03,MSCI,77.72200012207031
2023-08-04,MSCI,77.60199737548828
2023-08-05,MSCI,77.60199737548828
2023-08-06,MSCI,77.60199737548828
2023-08-07,MSCI,77.4260025024414
2023-08-08,MSCI,77.21800231933594
2023-08-09,MSCI,77.16400146484375
2023-08-10,MSCI,77.55999755859375
2023-08-11,MSCI,77.03800201416016
2023-08-12,MSCI,77.03800201416016
2023-08-13,MSCI,77.03800201416016
2023-08-14,MSCI,77.5199966430664
2023-08-15,MSCI,77.00199890136719
2023-08-16,MSCI,76.84400177001953
2023-08-17,MSCI,76.32599639892578
2023-08-18,MSCI,75.74800109863281
2023-08-19,MSCI,75.74800109863281
2023-08-20,MSCI,75.74800109863281
2023-08-21,MSCI,75.78399658203125
2023-08-22,MSCI,76.51599884033203
2023-08-23,MSCI,76.98600006103516
2023-08-24,MSCI,76.72000122070312
2023-08-25,MSCI,76.7699966430664
2023-08-26,MSCI,76.7699966430664
2023-08-27,MSCI,76.7699966430664
2023-08-28,MSCI,77.3239974975586
2023-08-29,MSCI,77.98999786376953
